Period,Series_reference,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
2000.01,BDCM.SB1,369126,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.02,BDCM.SB1,372489,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.03,BDCM.SB1,374568,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.04,BDCM.SB1,379797,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.05,BDCM.SB1,382356,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.06,BDCM.SB1,375021,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.07,BDCM.SB1,373044,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.08,BDCM.SB1,373149,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.09,BDCM.SB1,370353,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.1,BDCM.SB1,368976,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.11,BDCM.SB1,369672,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2000.12,BDCM.SB1,367200,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.01,BDCM.SB1,366792,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.02,BDCM.SB1,366732,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.03,BDCM.SB1,363015,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.04,BDCM.SB1,365577,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.05,BDCM.SB1,358074,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.06,BDCM.SB1,362919,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.07,BDCM.SB1,361134,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.08,BDCM.SB1,359490,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.09,BDCM.SB1,359415,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.1,BDCM.SB1,360552,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.11,BDCM.SB1,362601,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2001.12,BDCM.SB1,365373,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.01,BDCM.SB1,364947,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.02,BDCM.SB1,365346,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.03,BDCM.SB1,366174,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.04,BDCM.SB1,367248,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.05,BDCM.SB1,371769,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.06,BDCM.SB1,373995,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.07,BDCM.SB1,372582,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.08,BDCM.SB1,372783,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.09,BDCM.SB1,372555,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.1,BDCM.SB1,375666,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.11,BDCM.SB1,375459,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2002.12,BDCM.SB1,380376,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.01,BDCM.SB1,377319,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.02,BDCM.SB1,380697,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.03,BDCM.SB1,380025,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.04,BDCM.SB1,380778,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.05,BDCM.SB1,380727,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.06,BDCM.SB1,386196,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.07,BDCM.SB1,384318,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.08,BDCM.SB1,388545,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.09,BDCM.SB1,389583,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.1,BDCM.SB1,392955,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.11,BDCM.SB1,399990,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2003.12,BDCM.SB1,409266,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.01,BDCM.SB1,410391,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.02,BDCM.SB1,409041,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.03,BDCM.SB1,411360,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.04,BDCM.SB1,410823,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.05,BDCM.SB1,409305,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.06,BDCM.SB1,419709,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.07,BDCM.SB1,419961,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.08,BDCM.SB1,419829,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.09,BDCM.SB1,421986,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.1,BDCM.SB1,423978,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.11,BDCM.SB1,423615,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2004.12,BDCM.SB1,430023,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.01,BDCM.SB1,432693,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.02,BDCM.SB1,430725,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.03,BDCM.SB1,433029,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.04,BDCM.SB1,433533,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.05,BDCM.SB1,432756,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.06,BDCM.SB1,436686,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.07,BDCM.SB1,435054,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.08,BDCM.SB1,438558,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.09,BDCM.SB1,438087,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.1,BDCM.SB1,440220,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.11,BDCM.SB1,439659,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2005.12,BDCM.SB1,448926,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.01,BDCM.SB1,450384,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.02,BDCM.SB1,450804,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.03,BDCM.SB1,447150,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.04,BDCM.SB1,449259,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.05,BDCM.SB1,448728,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.06,BDCM.SB1,455367,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.07,BDCM.SB1,454446,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.08,BDCM.SB1,454674,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.09,BDCM.SB1,455967,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.1,BDCM.SB1,457239,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.11,BDCM.SB1,456912,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2006.12,BDCM.SB1,465606,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.01,BDCM.SB1,464319,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.02,BDCM.SB1,461856,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.03,BDCM.SB1,459369,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.04,BDCM.SB1,462411,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.05,BDCM.SB1,463347,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.06,BDCM.SB1,463977,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.07,BDCM.SB1,464940,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.08,BDCM.SB1,467580,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.09,BDCM.SB1,470178,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.1,BDCM.SB1,468264,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.11,BDCM.SB1,467778,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2007.12,BDCM.SB1,474465,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.01,BDCM.SB1,475095,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.02,BDCM.SB1,472728,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.03,BDCM.SB1,475095,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.04,BDCM.SB1,475053,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.05,BDCM.SB1,470232,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.06,BDCM.SB1,473520,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.07,BDCM.SB1,474099,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.08,BDCM.SB1,475548,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.09,BDCM.SB1,477054,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.1,BDCM.SB1,478098,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.11,BDCM.SB1,477687,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2008.12,BDCM.SB1,480822,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.01,BDCM.SB1,477510,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.02,BDCM.SB1,479940,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.03,BDCM.SB1,476112,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.04,BDCM.SB1,479508,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.05,BDCM.SB1,478794,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.06,BDCM.SB1,477453,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.07,BDCM.SB1,473466,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.08,BDCM.SB1,473232,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.09,BDCM.SB1,474987,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.1,BDCM.SB1,473133,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.11,BDCM.SB1,465801,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2009.12,BDCM.SB1,472896,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.01,BDCM.SB1,471726,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.02,BDCM.SB1,472146,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.03,BDCM.SB1,470154,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.04,BDCM.SB1,472263,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.05,BDCM.SB1,473103,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.06,BDCM.SB1,473535,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.07,BDCM.SB1,469602,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.08,BDCM.SB1,470655,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.09,BDCM.SB1,469413,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.1,BDCM.SB1,472674,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.11,BDCM.SB1,467583,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2010.12,BDCM.SB1,472917,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.01,BDCM.SB1,471615,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.02,BDCM.SB1,472623,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.03,BDCM.SB1,472779,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.04,BDCM.SB1,471120,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.05,BDCM.SB1,468963,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.06,BDCM.SB1,473106,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.07,BDCM.SB1,471753,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.08,BDCM.SB1,472617,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.09,BDCM.SB1,471807,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.1,BDCM.SB1,471573,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.11,BDCM.SB1,470619,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2011.12,BDCM.SB1,471495,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.01,BDCM.SB1,470679,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.02,BDCM.SB1,470613,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.03,BDCM.SB1,469395,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.04,BDCM.SB1,470904,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.05,BDCM.SB1,471621,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.06,BDCM.SB1,473679,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.07,BDCM.SB1,471954,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.08,BDCM.SB1,471726,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.09,BDCM.SB1,472509,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.1,BDCM.SB1,471927,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.11,BDCM.SB1,471339,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2012.12,BDCM.SB1,476007,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.01,BDCM.SB1,471852,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.02,BDCM.SB1,469062,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.03,BDCM.SB1,473196,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.04,BDCM.SB1,473670,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.05,BDCM.SB1,474867,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.06,BDCM.SB1,476802,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.07,BDCM.SB1,473286,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.08,BDCM.SB1,476952,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.09,BDCM.SB1,476199,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.1,BDCM.SB1,474594,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.11,BDCM.SB1,476682,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2013.12,BDCM.SB1,479469,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.01,BDCM.SB1,479232,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.02,BDCM.SB1,479964,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.03,BDCM.SB1,479043,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.04,BDCM.SB1,477315,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.05,BDCM.SB1,455403,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.06,BDCM.SB1,469620,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.07,BDCM.SB1,471843,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.08,BDCM.SB1,488505,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.09,BDCM.SB1,488964,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.1,BDCM.SB1,488451,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.11,BDCM.SB1,489825,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2014.12,BDCM.SB1,488073,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.01,BDCM.SB1,490347,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.02,BDCM.SB1,489375,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.03,BDCM.SB1,489813,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.04,BDCM.SB1,490200,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.05,BDCM.SB1,489324,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.06,BDCM.SB1,494199,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.07,BDCM.SB1,491967,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.08,BDCM.SB1,492507,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.09,BDCM.SB1,491352,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.1,BDCM.SB1,492441,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.11,BDCM.SB1,490617,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2015.12,BDCM.SB1,494520,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.01,BDCM.SB1,496053,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.02,BDCM.SB1,500193,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.03,BDCM.SB1,498786,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.04,BDCM.SB1,499809,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.05,BDCM.SB1,499464,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.06,BDCM.SB1,499176,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.07,BDCM.SB1,501639,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.08,BDCM.SB1,503625,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.09,BDCM.SB1,502941,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.1,BDCM.SB1,504786,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.11,BDCM.SB1,504789,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2016.12,BDCM.SB1,509643,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.01,BDCM.SB1,508317,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.02,BDCM.SB1,510024,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.03,BDCM.SB1,511959,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.04,BDCM.SB1,513252,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.05,BDCM.SB1,511296,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.06,BDCM.SB1,513528,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.07,BDCM.SB1,513600,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.08,BDCM.SB1,515418,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.09,BDCM.SB1,513606,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.1,BDCM.SB1,516261,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.11,BDCM.SB1,511761,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2017.12,BDCM.SB1,512061,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.01,BDCM.SB1,509469,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.02,BDCM.SB1,523974,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.03,BDCM.SB1,522840,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.04,BDCM.SB1,523590,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.05,BDCM.SB1,517572,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.06,BDCM.SB1,520617,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.07,BDCM.SB1,520236,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.08,BDCM.SB1,521445,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.09,BDCM.SB1,518922,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.1,BDCM.SB1,519399,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.11,BDCM.SB1,520428,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2018.12,BDCM.SB1,527112,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2019.01,BDCM.SB1,526617,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2019.02,BDCM.SB1,530793,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2019.03,BDCM.SB1,530079,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2019.04,BDCM.SB1,533607,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2019.05,BDCM.SB1,529263,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2019.06,BDCM.SB1,532881,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
2019.07,BDCM.SB1,531468,,F,Number,0,Business Data Collection - BDC,Enterprise Counts - New Zealand,Total,,,,
